,instance_name,budget,n_edges,method,obj,lower_obj,time
83,SF_DNDP_10_10,0.25,10,mkkt_30,6349.660376270142,3983.7980623006633,30.01833200454712
84,SF_DNDP_10_10,0.5,10,mkkt_5,5793.762922898006,3799.636274603885,5.00676703453064
85,SF_DNDP_10_10,0.5,10,mkkt_10,5793.762922898006,3799.636274603885,10.006947994232178
86,SF_DNDP_10_10,0.5,10,mkkt_30,5505.188483993896,3794.0127309553814,30.016350984573364
87,SF_DNDP_10_10,0.75,10,mkkt_5,5323.535012616365,3683.2249719413476,5.009597063064575
88,SF_DNDP_10_10,0.75,10,mkkt_10,5188.873995032601,3646.9125685873246,10.039999008178711
89,SF_DNDP_10_10,0.75,10,mkkt_30,5180.7608154824,3632.3595704719337,30.016170978546143
90,SF_DNDP_20_1,0.25,20,mkkt_5,5370.668673201914,3637.334972835679,5.010711908340454
91,SF_DNDP_20_1,0.25,20,mkkt_10,5370.668673201914,3637.334972835679,10.008633852005005
92,SF_DNDP_20_1,0.25,20,mkkt_30,5179.852532756461,3573.944280830276,30.01004195213318
93,SF_DNDP_20_1,0.5,20,mkkt_5,4650.3555797055515,3451.4823800996874,5.007515907287598
94,SF_DNDP_20_1,0.5,20,mkkt_10,4505.807855419859,3360.720605411989,10.009030818939209
95,SF_DNDP_20_1,0.5,20,mkkt_30,4451.810505400496,3301.9155746939227,30.013027906417847
96,SF_DNDP_20_1,0.75,20,mkkt_5,3908.943433414394,3050.3823945328627,5.005781888961792
97,SF_DNDP_20_1,0.75,20,mkkt_10,3908.943433414394,3050.3823945328627,10.004866123199463
98,SF_DNDP_20_1,0.75,20,mkkt_30,3908.943433414394,3050.3823945328627,30.01848816871643
99,SF_DNDP_20_2,0.25,20,mkkt_5,5803.720444616206,3822.853495645914,5.011971950531006
100,SF_DNDP_20_2,0.25,20,mkkt_10,5803.720444616206,3822.853495645914,10.014679908752441
101,SF_DNDP_20_2,0.25,20,mkkt_30,5223.694745757583,3667.7659524572655,30.012293815612793
102,SF_DNDP_20_2,0.5,20,mkkt_5,4114.717087283387,3210.045553283724,5.010035037994385
103,SF_DNDP_20_2,0.5,20,mkkt_10,4114.717087283387,3210.045553283724,10.01164722442627
104,SF_DNDP_20_2,0.5,20,mkkt_30,4114.717087283387,3210.045553283724,30.010257959365845
105,SF_DNDP_20_2,0.75,20,mkkt_5,4252.611927622507,3235.0594968461764,5.0118491649627686
106,SF_DNDP_20_2,0.75,20,mkkt_10,3954.8541218555447,3134.2553680788287,10.015295028686523
107,SF_DNDP_20_2,0.75,20,mkkt_30,3954.8541218555447,3134.2553680788287,30.01197600364685
108,SF_DNDP_20_3,0.25,20,mkkt_5,5352.13882408585,3698.2187598811784,5.011683940887451
109,SF_DNDP_20_3,0.25,20,mkkt_10,5352.13882408585,3698.2187598811784,10.010865926742554
110,SF_DNDP_20_3,0.25,20,mkkt_30,5352.13882408585,3698.2187598811784,30.010592937469482
111,SF_DNDP_20_3,0.5,20,mkkt_5,5073.900506696989,3604.698253712021,5.012459993362427
112,SF_DNDP_20_3,0.5,20,mkkt_10,4533.349076695272,3340.373654936096,10.012413024902344
113,SF_DNDP_20_3,0.5,20,mkkt_30,4402.295956941758,3297.0007917957464,30.017081022262573
114,SF_DNDP_20_3,0.75,20,mkkt_5,4487.79284322505,3337.479647166458,5.010296106338501
115,SF_DNDP_20_3,0.75,20,mkkt_10,4067.2886779085165,3149.9993252366826,10.004607915878296
116,SF_DNDP_20_3,0.75,20,mkkt_30,4040.010706303175,3143.3657458762414,30.02285408973694
117,SF_DNDP_20_4,0.25,20,mkkt_5,5790.228046688707,3766.734994299563,5.00729513168335
118,SF_DNDP_20_4,0.25,20,mkkt_10,5790.228046688707,3766.734994299563,10.00948715209961
119,SF_DNDP_20_4,0.25,20,mkkt_30,5190.441346377601,3602.8588247288467,30.013027906417847
120,SF_DNDP_20_4,0.5,20,mkkt_5,4326.341379282334,3250.0069009037093,5.0094990730285645
121,SF_DNDP_20_4,0.5,20,mkkt_10,4326.341379282334,3250.0069009037093,10.02615213394165
122,SF_DNDP_20_4,0.5,20,mkkt_30,4326.341379282334,3250.0069009037093,30.008821964263916
123,SF_DNDP_20_4,0.75,20,mkkt_5,4622.970358492325,3448.5228645308243,5.008310079574585
124,SF_DNDP_20_4,0.75,20,mkkt_10,3985.7229485173884,3118.53273065399,10.009092092514038
125,SF_DNDP_20_4,0.75,20,mkkt_30,3985.7229485173884,3118.53273065399,30.02244210243225
126,SF_DNDP_20_5,0.25,20,mkkt_5,5915.66136246413,3922.518770333,5.011682987213135
127,SF_DNDP_20_5,0.25,20,mkkt_10,5328.114656416813,3689.5215636376793,10.01497197151184
128,SF_DNDP_20_5,0.25,20,mkkt_30,5220.454937890745,3652.831173616871,30.010024070739746
129,SF_DNDP_20_5,0.5,20,mkkt_5,5055.031545217693,3600.2955012004913,5.006173133850098
130,SF_DNDP_20_5,0.5,20,mkkt_10,4746.0157128220935,3455.2590815476524,10.009068965911865
131,SF_DNDP_20_5,0.5,20,mkkt_30,4549.836188467992,3363.3057979507125,30.01008701324463
132,SF_DNDP_20_5,0.75,20,mkkt_5,4480.0176639529445,3319.5786686889674,5.008009910583496
133,SF_DNDP_20_5,0.75,20,mkkt_10,4365.346760561451,3266.3040961337483,10.015738010406494
134,SF_DNDP_20_5,0.75,20,mkkt_30,4365.346760561451,3266.3040961337483,30.249536991119385
135,SF_DNDP_20_6,0.25,20,mkkt_5,5391.351066905822,3681.0168369599933,5.011901140213013
